target,sequence
0,0 -18.61999999999989 -19.079999999999927 -25.83999999999969 -12.029999999999745 -9.269999999999982 -12.809999999999945 -16.289999999999964 -13.690000000000055 -14.389999999999873 -7.839999999999691 -17.699999999999818 -9.849999999999909 -19.08999999999969 -15.980000000000018 -21.13000000000011 -19.11999999999989 -30.440000000000055 -30.730000000000018
0,0 5.170000000000073 9.430000000000291 -1.9099999999998545 1.5199999999999818 4.4900000000002365 15.950000000000273 11.690000000000055 12.920000000000073 16.070000000000164 11.269999999999982 7.200000000000273 19.200000000000273 13.100000000000364 14.840000000000146 4.539999999999964 10.789999999999964 9.940000000000055 11.920000000000073 -6.699999999999818 -7.1599999999998545
0,0 -0.849999999999909 1.1300000000001091 -17.48999999999978 -17.949999999999818 -24.70999999999958 -10.899999999999636 -8.139999999999873 -11.679999999999836 -15.159999999999854 -12.559999999999945 -13.259999999999764 -6.709999999999582 -16.56999999999971 -8.7199999999998 -17.95999999999958 -14.849999999999909 -20.0 -17.98999999999978 -29.309999999999945 -29.59999999999991 -44.57999999999993 -51.83999999999969 -83.83999999999969
0,0 0.08999999999969077 5.2599999999997635 9.519999999999982 -1.8200000000001637 1.6099999999996726 4.579999999999927 16.039999999999964 11.779999999999745 13.009999999999764 16.159999999999854 11.359999999999673 7.289999999999964 19.289999999999964 13.190000000000055
0,0 -11.340000000000146 -7.910000000000309 -4.940000000000055 6.519999999999982 2.2599999999997635 3.4899999999997817 6.639999999999873 1.8399999999996908 -2.230000000000018 9.769999999999982 3.6700000000000728 5.4099999999998545 -4.890000000000327 1.3599999999996726 0.5099999999997635 2.4899999999997817 -16.13000000000011 -16.590000000000146 -23.34999999999991 -9.539999999999964
0,0 1.9800000000000182 -16.639999999999873 -17.09999999999991 -23.859999999999673 -10.049999999999727 -7.289999999999964 -10.829999999999927 -14.309999999999945 -11.710000000000036 -12.409999999999854 -5.859999999999673 -15.7199999999998 -7.869999999999891 -17.109999999999673 -14.0 -19.15000000000009 -17.139999999999873 -28.460000000000036 -28.75 -43.73000000000002 -50.98999999999978 -82.98999999999978 -81.15999999999985
0,0 5.170000000000073 9.430000000000291 -1.9099999999998545 1.5199999999999818 4.4900000000002365 15.950000000000273 11.690000000000055 12.920000000000073 16.070000000000164 11.269999999999982 7.200000000000273 19.200000000000273 13.100000000000364 14.840000000000146
0,0 3.4299999999998363 6.400000000000091 17.860000000000127 13.599999999999909 14.829999999999927 17.980000000000018 13.179999999999836 9.110000000000127 21.110000000000127 15.010000000000218 16.75 6.449999999999818 12.699999999999818 11.849999999999909 13.829999999999927 -4.789999999999964 -5.25 -12.009999999999764 1.800000000000182 4.559999999999945
0,0 -18.61999999999989 -19.079999999999927 -25.83999999999969 -12.029999999999745 -9.269999999999982 -12.809999999999945 -16.289999999999964 -13.690000000000055 -14.389999999999873 -7.839999999999691 -17.699999999999818 -9.849999999999909 -19.08999999999969 -15.980000000000018 -21.13000000000011 -19.11999999999989 -30.440000000000055 -30.730000000000018 -45.710000000000036 -52.9699999999998 -84.9699999999998 -83.13999999999987 -94.31999999999971
0,0 4.260000000000218 -7.079999999999927 -3.650000000000091 -0.6799999999998363 10.7800000000002 6.519999999999982 7.75 10.900000000000091 6.099999999999909 2.0300000000002 14.0300000000002 7.930000000000291 9.670000000000073 -0.6300000000001091
