target,sequence
0,0 -6.099999999999909 -4.360000000000127 -14.66000000000031 -8.41000000000031 -9.260000000000218 -7.2800000000002 -25.90000000000009 -26.360000000000127 -33.11999999999989 -19.309999999999945 -16.550000000000182 -20.090000000000146 -23.570000000000164 -20.970000000000255 -21.670000000000073 -15.11999999999989 -24.980000000000018 -17.13000000000011 -26.36999999999989 -23.26000000000022 -28.41000000000031 -26.40000000000009 -37.720000000000255 -38.01000000000022
0,0 -6.099999999999909 -4.360000000000127 -14.66000000000031 -8.41000000000031 -9.260000000000218 -7.2800000000002 -25.90000000000009 -26.360000000000127 -33.11999999999989 -19.309999999999945 -16.550000000000182 -20.090000000000146 -23.570000000000164 -20.970000000000255 -21.670000000000073 -15.11999999999989 -24.980000000000018 -17.13000000000011 -26.36999999999989 -23.26000000000022 -28.41000000000031
0,0 -4.260000000000218 -3.0300000000002 0.11999999999989086 -4.680000000000291 -8.75 3.25 -2.849999999999909 -1.1100000000001273 -11.41000000000031 -5.160000000000309 -6.010000000000218 -4.0300000000002 -22.65000000000009 -23.110000000000127 -29.86999999999989 -16.059999999999945 -13.300000000000182 -16.840000000000146 -20.320000000000164 -17.720000000000255 -18.420000000000073 -11.86999999999989
0,0 4.859999999999673 5.179999999999836 -1.3200000000001637 -10.440000000000055 -10.350000000000364 -5.180000000000291 -0.9200000000000728 -12.260000000000218 -8.830000000000382 -5.860000000000127 5.599999999999909 1.3399999999996908 2.569999999999709 5.7199999999998 0.919999999999618 -3.150000000000091 8.849999999999909 2.75 4.489999999999782
0,0 1.2300000000000182 4.380000000000109 -0.42000000000007276 -4.489999999999782 7.510000000000218 1.4100000000003092 3.150000000000091 -7.150000000000091 -0.900000000000091 -1.75 0.2300000000000182 -18.389999999999873 -18.84999999999991 -25.609999999999673 -11.799999999999727 -9.039999999999964 -12.579999999999927 -16.059999999999945 -13.460000000000036 -14.159999999999854 -7.609999999999673 -17.4699999999998
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073 -4.420000000000073 -5.269999999999982 -3.2899999999999636 -21.909999999999854 -22.36999999999989
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073
0,0 3.150000000000091 -1.650000000000091 -5.7199999999998 6.2800000000002 0.18000000000029104 1.9200000000000728 -8.38000000000011 -2.130000000000109 -2.980000000000018 -1.0 -19.61999999999989 -20.079999999999927 -26.83999999999969 -13.029999999999745 -10.269999999999982 -13.809999999999945 -17.289999999999964 -14.690000000000055 -15.389999999999873 -8.83999999999969 -18.699999999999818 -10.849999999999909
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073 -4.420000000000073 -5.269999999999982 -3.2899999999999636 -21.909999999999854 -22.36999999999989 -29.129999999999654
0,0 -4.260000000000218 -3.0300000000002 0.11999999999989086 -4.680000000000291 -8.75 3.25 -2.849999999999909 -1.1100000000001273 -11.41000000000031 -5.160000000000309 -6.010000000000218 -4.0300000000002 -22.65000000000009 -23.110000000000127 -29.86999999999989 -16.059999999999945 -13.300000000000182 -16.840000000000146 -20.320000000000164 -17.720000000000255 -18.420000000000073 -11.86999999999989 -21.730000000000018
0,0 -6.099999999999909 -4.360000000000127 -14.66000000000031 -8.41000000000031 -9.260000000000218 -7.2800000000002 -25.90000000000009 -26.360000000000127 -33.11999999999989 -19.309999999999945 -16.550000000000182 -20.090000000000146 -23.570000000000164 -20.970000000000255 -21.670000000000073 -15.11999999999989 -24.980000000000018 -17.13000000000011 -26.36999999999989 -23.26000000000022 -28.41000000000031 -26.40000000000009
0,0 1.2300000000000182 4.380000000000109 -0.42000000000007276 -4.489999999999782 7.510000000000218 1.4100000000003092 3.150000000000091 -7.150000000000091 -0.900000000000091 -1.75 0.2300000000000182 -18.389999999999873 -18.84999999999991 -25.609999999999673 -11.799999999999727 -9.039999999999964 -12.579999999999927 -16.059999999999945 -13.460000000000036 -14.159999999999854 -7.609999999999673 -17.4699999999998 -9.61999999999989
0,0 3.150000000000091 -1.650000000000091 -5.7199999999998 6.2800000000002 0.18000000000029104 1.9200000000000728 -8.38000000000011 -2.130000000000109 -2.980000000000018 -1.0 -19.61999999999989 -20.079999999999927 -26.83999999999969 -13.029999999999745 -10.269999999999982 -13.809999999999945 -17.289999999999964 -14.690000000000055 -15.389999999999873 -8.83999999999969 -18.699999999999818 -10.849999999999909 -20.08999999999969
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073 -4.420000000000073 -5.269999999999982 -3.2899999999999636 -21.909999999999854 -22.36999999999989 -29.129999999999654 -15.319999999999709
0,0 4.859999999999673 5.179999999999836 -1.3200000000001637 -10.440000000000055 -10.350000000000364 -5.180000000000291 -0.9200000000000728 -12.260000000000218 -8.830000000000382 -5.860000000000127 5.599999999999909 1.3399999999996908 2.569999999999709 5.7199999999998 0.919999999999618 -3.150000000000091 8.849999999999909 2.75 4.489999999999782 -5.8100000000004
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073 -4.420000000000073 -5.269999999999982 -3.2899999999999636 -21.909999999999854 -22.36999999999989 -29.129999999999654 -15.319999999999709 -12.559999999999945
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073 -4.420000000000073
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073 -4.420000000000073 -5.269999999999982 -3.2899999999999636 -21.909999999999854 -22.36999999999989 -29.129999999999654 -15.319999999999709 -12.559999999999945 -16.09999999999991 -19.579999999999927
0,0 -4.260000000000218 -3.0300000000002 0.11999999999989086 -4.680000000000291 -8.75 3.25 -2.849999999999909 -1.1100000000001273 -11.41000000000031 -5.160000000000309 -6.010000000000218 -4.0300000000002 -22.65000000000009 -23.110000000000127 -29.86999999999989 -16.059999999999945 -13.300000000000182 -16.840000000000146 -20.320000000000164 -17.720000000000255 -18.420000000000073 -11.86999999999989 -21.730000000000018 -13.88000000000011
0,0 0.3200000000001637 -6.179999999999836 -15.299999999999727 -15.210000000000036 -10.039999999999964 -5.779999999999745 -17.11999999999989 -13.690000000000055 -10.7199999999998 0.7400000000002365 -3.519999999999982 -2.2899999999999636 0.8600000000001273 -3.9400000000000546 -8.009999999999764 3.9900000000002365 -2.1099999999996726 -0.36999999999989086 -10.670000000000073 -4.420000000000073 -5.269999999999982 -3.2899999999999636 -21.909999999999854 -22.36999999999989 -29.129999999999654 -15.319999999999709 -12.559999999999945 -16.09999999999991
0,0 -6.099999999999909 -4.360000000000127 -14.66000000000031 -8.41000000000031 -9.260000000000218 -7.2800000000002 -25.90000000000009 -26.360000000000127 -33.11999999999989 -19.309999999999945 -16.550000000000182 -20.090000000000146 -23.570000000000164 -20.970000000000255 -21.670000000000073 -15.11999999999989 -24.980000000000018 -17.13000000000011 -26.36999999999989 -23.26000000000022 -28.41000000000031 -26.40000000000009 -37.720000000000255
0,0 -4.260000000000218 -3.0300000000002 0.11999999999989086 -4.680000000000291 -8.75 3.25 -2.849999999999909 -1.1100000000001273 -11.41000000000031 -5.160000000000309 -6.010000000000218 -4.0300000000002 -22.65000000000009 -23.110000000000127 -29.86999999999989 -16.059999999999945 -13.300000000000182 -16.840000000000146 -20.320000000000164
0,0 1.2300000000000182 4.380000000000109 -0.42000000000007276 -4.489999999999782 7.510000000000218 1.4100000000003092 3.150000000000091 -7.150000000000091 -0.900000000000091 -1.75 0.2300000000000182 -18.389999999999873 -18.84999999999991 -25.609999999999673 -11.799999999999727 -9.039999999999964 -12.579999999999927 -16.059999999999945 -13.460000000000036 -14.159999999999854 -7.609999999999673 -17.4699999999998 -9.61999999999989 -18.859999999999673
0,0 1.2300000000000182 4.380000000000109 -0.42000000000007276 -4.489999999999782 7.510000000000218 1.4100000000003092 3.150000000000091 -7.150000000000091 -0.900000000000091 -1.75 0.2300000000000182 -18.389999999999873 -18.84999999999991 -25.609999999999673 -11.799999999999727 -9.039999999999964 -12.579999999999927 -16.059999999999945 -13.460000000000036
0,0 3.150000000000091 -1.650000000000091 -5.7199999999998 6.2800000000002 0.18000000000029104 1.9200000000000728 -8.38000000000011 -2.130000000000109 -2.980000000000018 -1.0 -19.61999999999989 -20.079999999999927 -26.83999999999969 -13.029999999999745 -10.269999999999982 -13.809999999999945 -17.289999999999964 -14.690000000000055 -15.389999999999873 -8.83999999999969 -18.699999999999818 -10.849999999999909 -20.08999999999969 -16.980000000000018
0,0 3.150000000000091 -1.650000000000091 -5.7199999999998 6.2800000000002 0.18000000000029104 1.9200000000000728 -8.38000000000011 -2.130000000000109 -2.980000000000018 -1.0 -19.61999999999989 -20.079999999999927 -26.83999999999969 -13.029999999999745 -10.269999999999982 -13.809999999999945 -17.289999999999964 -14.690000000000055 -15.389999999999873
0,0 -4.260000000000218 -3.0300000000002 0.11999999999989086 -4.680000000000291 -8.75 3.25 -2.849999999999909 -1.1100000000001273 -11.41000000000031 -5.160000000000309 -6.010000000000218 -4.0300000000002 -22.65000000000009 -23.110000000000127 -29.86999999999989 -16.059999999999945 -13.300000000000182 -16.840000000000146 -20.320000000000164 -17.720000000000255 -18.420000000000073 -11.86999999999989 -21.730000000000018 -13.88000000000011 -23.11999999999989
0,0 1.2300000000000182 4.380000000000109 -0.42000000000007276 -4.489999999999782 7.510000000000218 1.4100000000003092 3.150000000000091 -7.150000000000091 -0.900000000000091 -1.75 0.2300000000000182 -18.389999999999873 -18.84999999999991 -25.609999999999673 -11.799999999999727 -9.039999999999964 -12.579999999999927 -16.059999999999945 -13.460000000000036 -14.159999999999854 -7.609999999999673 -17.4699999999998 -9.61999999999989 -18.859999999999673 -15.75
0,0 3.150000000000091 -1.650000000000091 -5.7199999999998 6.2800000000002 0.18000000000029104 1.9200000000000728 -8.38000000000011 -2.130000000000109 -2.980000000000018 -1.0 -19.61999999999989 -20.079999999999927 -26.83999999999969 -13.029999999999745 -10.269999999999982 -13.809999999999945 -17.289999999999964 -14.690000000000055 -15.389999999999873 -8.83999999999969 -18.699999999999818 -10.849999999999909 -20.08999999999969 -16.980000000000018 -22.13000000000011
0,0 -6.099999999999909 -4.360000000000127 -14.66000000000031 -8.41000000000031 -9.260000000000218 -7.2800000000002 -25.90000000000009 -26.360000000000127 -33.11999999999989 -19.309999999999945 -16.550000000000182 -20.090000000000146 -23.570000000000164 -20.970000000000255 -21.670000000000073 -15.11999999999989 -24.980000000000018 -17.13000000000011 -26.36999999999989
0,0 4.859999999999673 5.179999999999836 -1.3200000000001637 -10.440000000000055 -10.350000000000364 -5.180000000000291 -0.9200000000000728 -12.260000000000218 -8.830000000000382 -5.860000000000127 5.599999999999909 1.3399999999996908 2.569999999999709 5.7199999999998 0.919999999999618 -3.150000000000091 8.849999999999909 2.75 4.489999999999782 -5.8100000000004 0.4399999999995998
