target,sequence
0,0 -4.150000000000091 6.079999999999927 -7.0300000000002 -7.869999999999891 -9.769999999999982 -11.490000000000236 -15.960000000000036 -18.200000000000273 -13.890000000000327 -18.490000000000236 -24.40000000000009 -19.800000000000182 -17.059999999999945 -31.390000000000327 -34.55000000000018 -40.01000000000022 -49.76999999999998 -59.070000000000164 -62.090000000000146 -72.28999999999996 -72.47000000000025 -66.91000000000031 -68.5300000000002 -60.89000000000033
0,0 -13.110000000000127 -13.949999999999818 -15.849999999999909 -17.570000000000164 -22.039999999999964 -24.2800000000002 -19.970000000000255 -24.570000000000164 -30.480000000000018 -25.88000000000011 -23.139999999999873 -37.470000000000255 -40.63000000000011 -46.090000000000146 -55.84999999999991 -65.15000000000009 -68.17000000000007 -78.36999999999989 -78.55000000000018
0,0 -13.110000000000127 -13.949999999999818 -15.849999999999909 -17.570000000000164 -22.039999999999964 -24.2800000000002 -19.970000000000255 -24.570000000000164 -30.480000000000018 -25.88000000000011 -23.139999999999873 -37.470000000000255 -40.63000000000011 -46.090000000000146 -55.84999999999991 -65.15000000000009 -68.17000000000007 -78.36999999999989 -78.55000000000018 -72.99000000000024 -74.61000000000013 -66.97000000000025 -68.55999999999995 -71.34000000000015 -74.98000000000002 -79.59000000000015 -76.84000000000015 -78.73000000000002
0,0 -4.150000000000091 6.079999999999927 -7.0300000000002 -7.869999999999891 -9.769999999999982 -11.490000000000236 -15.960000000000036 -18.200000000000273 -13.890000000000327 -18.490000000000236 -24.40000000000009 -19.800000000000182 -17.059999999999945 -31.390000000000327 -34.55000000000018 -40.01000000000022 -49.76999999999998 -59.070000000000164 -62.090000000000146 -72.28999999999996 -72.47000000000025 -66.91000000000031 -68.5300000000002
0,0 -4.150000000000091 6.079999999999927 -7.0300000000002 -7.869999999999891 -9.769999999999982 -11.490000000000236 -15.960000000000036 -18.200000000000273 -13.890000000000327 -18.490000000000236 -24.40000000000009 -19.800000000000182 -17.059999999999945 -31.390000000000327 -34.55000000000018 -40.01000000000022 -49.76999999999998 -59.070000000000164 -62.090000000000146 -72.28999999999996 -72.47000000000025 -66.91000000000031 -68.5300000000002 -60.89000000000033 -62.48000000000002
0,0 -13.110000000000127 -13.949999999999818 -15.849999999999909 -17.570000000000164 -22.039999999999964 -24.2800000000002 -19.970000000000255 -24.570000000000164 -30.480000000000018 -25.88000000000011 -23.139999999999873 -37.470000000000255 -40.63000000000011 -46.090000000000146 -55.84999999999991 -65.15000000000009 -68.17000000000007 -78.36999999999989 -78.55000000000018 -72.99000000000024 -74.61000000000013 -66.97000000000025 -68.55999999999995
0,0 -13.110000000000127 -13.949999999999818 -15.849999999999909 -17.570000000000164 -22.039999999999964 -24.2800000000002 -19.970000000000255 -24.570000000000164 -30.480000000000018 -25.88000000000011 -23.139999999999873 -37.470000000000255 -40.63000000000011 -46.090000000000146 -55.84999999999991 -65.15000000000009 -68.17000000000007 -78.36999999999989 -78.55000000000018 -72.99000000000024 -74.61000000000013 -66.97000000000025 -68.55999999999995 -71.34000000000015 -74.98000000000002
0,0 -4.150000000000091 6.079999999999927 -7.0300000000002 -7.869999999999891 -9.769999999999982 -11.490000000000236 -15.960000000000036 -18.200000000000273 -13.890000000000327 -18.490000000000236 -24.40000000000009 -19.800000000000182 -17.059999999999945 -31.390000000000327 -34.55000000000018 -40.01000000000022 -49.76999999999998 -59.070000000000164 -62.090000000000146 -72.28999999999996 -72.47000000000025 -66.91000000000031
0,0 -4.150000000000091 6.079999999999927 -7.0300000000002 -7.869999999999891 -9.769999999999982 -11.490000000000236 -15.960000000000036 -18.200000000000273 -13.890000000000327 -18.490000000000236 -24.40000000000009 -19.800000000000182 -17.059999999999945 -31.390000000000327 -34.55000000000018 -40.01000000000022 -49.76999999999998 -59.070000000000164 -62.090000000000146 -72.28999999999996 -72.47000000000025 -66.91000000000031 -68.5300000000002 -60.89000000000033 -62.48000000000002 -65.26000000000022
0,0 -4.150000000000091 6.079999999999927 -7.0300000000002 -7.869999999999891 -9.769999999999982 -11.490000000000236 -15.960000000000036 -18.200000000000273 -13.890000000000327 -18.490000000000236 -24.40000000000009 -19.800000000000182 -17.059999999999945 -31.390000000000327 -34.55000000000018 -40.01000000000022 -49.76999999999998 -59.070000000000164 -62.090000000000146 -72.28999999999996 -72.47000000000025 -66.91000000000031 -68.5300000000002 -60.89000000000033 -62.48000000000002 -65.26000000000022 -68.90000000000009 -73.51000000000022
