Date,Closing (c),High (c),Low (c),Volume,# Deals,Value (R),Move (%),DY,EY,PE
2-Mar-18,29400,29680,28150,1221947,7685,357 251 542,1.64%,4.3707,8.340136,11.990212
1-Mar-18,28925,29066,28348,651852,3573,188 190 402,0.59%,4.2869,8.169404,12.240796
28-Feb-18,28756,29600,28691,1219940,5234,354 220 068,-3.62%,4.3121,8.217415,12.169276
27-Feb-18,29835,30299,29501,1398250,4643,419 047 022,1.48%,4.1562,7.920228,12.625899
26-Feb-18,29400,29996,29328,734098,4343,217 181 363,0.34%,4.2177,8.037415,12.441811
23-Feb-18,29300,29493,28950,1120328,6772,327 745 963,0.86%,4.2321,8.064846,12.399492
22-Feb-18,29050,29551,28696,785963,3939,228 170 563,-0.48%,4.2685,8.134251,12.293694
21-Feb-18,29190,29448,28188,1042352,5250,300 913 544,2.24%,4.248,8.095238,12.352941
20-Feb-18,28550,29300,28503,1180568,3921,339 999 740,-2.56%,4.3433,8.276708,12.082099
19-Feb-18,29300,29561,28611,789302,3441,231 464 259,0.26%,4.2321,8.064846,12.399492
16-Feb-18,29225,29495,28930,1031965,5700,301 951 037,0.49%,4.2429,8.085543,12.367753
15-Feb-18,29083,29735,28000,1348229,7876,392 866 816,5.37%,4.2637,8.125021,12.30766
14-Feb-18,27601,28198,27228,974099,4565,269 851 440,-0.50%,4.4926,8.561284,11.680491
13-Feb-18,27739,28193,27221,965892,4194,268 667 119,0.87%,4.4702,8.518692,11.738891
12-Feb-18,27500,28196,27200,1526833,6156,419 337 935,0.00%,4.5091,8.592727,11.637749
9-Feb-18,27500,27700,26351,1373962,7007,375 148 139,1.97%,4.5091,8.592727,11.637749
8-Feb-18,26968,27580,26356,1578864,7265,424 536 094,-0.10%,4.598,8.762237,11.412611
7-Feb-18,26996,26996,25134,1339912,5190,356 061 942,5.87%,4.5933,8.753149,11.42446
6-Feb-18,25498,25600,24255,1442619,6337,362 109 416,-0.32%,4.8631,9.267394,10.790521
5-Feb-18,25579,26395,25314,1500541,7053,384 173 081,-3.11%,4.8477,9.238047,10.824799
2-Feb-18,26400,26999,26004,1002401,4443,264 916 148,-0.39%,4.697,8.950758,11.172239
1-Feb-18,26503,27541,26201,1326078,5421,356 175 949,0.39%,4.6787,8.915972,11.215827
31-Jan-18,26401,26859,25557,1052928,4058,278 423 481,1.88%,4.6968,8.950419,11.172662
30-Jan-18,25915,26499,25457,1340945,4733,347 666 032,-3.13%,4.7849,9.118271,10.966991
29-Jan-18,26753,27968,26485,1372207,3701,372 747 295,-4.34%,4.635,8.832654,11.321625
26-Jan-18,27968,28292,27535,903384,2296,252 328 504,-0.11%,4.4336,8.448942,11.835802
25-Jan-18,28000,28080,27348,938417,4461,261 694 665,2.38%,4.4286,8.439286,11.849344
24-Jan-18,27349,27820,26803,1380002,5837,376 571 194,1.11%,4.534,8.64017,11.573847
23-Jan-18,27050,27517,26099,1085210,4048,293 302 770,1.89%,4.5841,8.735675,11.447313
22-Jan-18,26547,26626,25945,790232,3548,208 410 535,2.50%,4.671,8.901194,11.234448
19-Jan-18,25900,26900,25795,662832,2605,173 321 201,-3.06%,4.7876,9.123552,10.960643
18-Jan-18,26717,26799,25221,755420,3791,200 738 756,2.42%,4.6412,8.844556,11.30639
17-Jan-18,26086,26297,25201,733013,2683,190 783 990,1.22%,4.7535,9.058499,11.039357
16-Jan-18,25772,26105,24842,1129688,3846,290 171 799,2.07%,4.8114,9.168865,10.906475
15-Jan-18,25250,25650,24699,547886,2306,138 512 162,0.00%,4.9109,9.358416,10.685569
12-Jan-18,25250,25639,24690,448620,2157,112 922 230,1.32%,4.9109,9.358416,10.685569
11-Jan-18,24922,25790,24833,703317,3335,177 169 197,-1.96%,4.9755,9.481583,10.546763
10-Jan-18,25420,26272,25165,575525,2820,146 253 837,-2.32%,4.878,9.29583,10.757512
9-Jan-18,26025,26114,25200,465292,1934,120 125 548,1.86%,4.7646,9.079731,11.013542
8-Jan-18,25550,26087,25343,651154,2607,167 201 758,-1.08%,4.8532,9.248532,10.812526
5-Jan-18,25830,25893,24651,656085,2769,167 626 275,2.37%,4.8006,9.148277,10.93102
4-Jan-18,25232,25450,24851,1113334,5437,280 370 595,0.13%,4.9144,9.365092,10.677952
3-Jan-18,25200,26097,24856,1309581,5129,329 021 264,-3.49%,4.9206,9.376984,10.66441
2-Jan-18,26112,26433,25283,1433034,4559,373 565 563,1.96%,4.7488,9.049479,11.05036
1-Jan-18,25610,25610,25610,0,0,0,0.00%,4.8419,9.226865,10.837917
29-Dec-17,25610,25767,25107,275470,1231,70 515 708,1.28%,4.8419,9.226865,10.837918
28-Dec-17,25287,25500,24902,365473,2031,92 354 427,0.41%,4.9037,9.344723,10.701227
27-Dec-17,25185,25600,24750,1058335,3193,265 817 243,1.72%,4.9236,9.382569,10.658062
26-Dec-17,24758,24758,24758,0,0,0,0.00%,5.0085,9.54439,10.477359
25-Dec-17,24758,24758,24758,0,0,0,0.00%,5.0085,9.54439,10.477359
